Name_no_parentheses,parentName
Administration for Children and Families,United States Department of Health and Human Services
Administration for Community Living,United States Department of Health and Human Services
Advanced Manufacturing Office,United States Department of Energy
Advanced Research Projects Agency-Energy,United States Department of Energy
Agency for Healthcare Research and Quality,United States Department of Health and Human Services
Agency for Toxic Substances and Disease Registry,United States Department of Health and Human Services
Agricultural Research Service,United States Department of Agriculture
Air Force Institute of Technology,United States Department of Defense
Air University,United States Department of Defense
Alabama Space Grant Consortium,National Aeronautics and Space Administration
Alaska Humanities Forum,National Endowment for the Humanities
Alaska Sea Grant,United States Department of Commerce
Alaska Space Grant Program,National Aeronautics and Space Administration
AmeriCorps,AmeriCorps
Ames Research Center,National Aeronautics and Space Administration
Animal and Plant Health Inspection Service,United States Department of Agriculture
Argonne National Laboratory,United States Department of Energy
Arizona Humanities,National Endowment for the Humanities
Arizona Space Grant Consortium,National Aeronautics and Space Administration
Arkansas Humanities Council,National Endowment for the Humanities
Arkansas Space Grant Consortium,National Aeronautics and Space Administration
Armstrong Flight Research Center,National Aeronautics and Space Administration
Astrophysics Science Division,National Aeronautics and Space Administration
Bioenergy Technologies Office,United States Department of Energy
Brookhaven National Laboratory,United States Department of Energy
Building Technologies Office,United States Department of Energy
Bureau of Educational and Cultural Affairs,United States Department of State
California Sea Grant,United States Department of Commerce
California Space Grant Consortium,National Aeronautics and Space Administration
Center for Enabling New Technologies Through Catalysis,National Science Foundation
Center for Global Health,United States Department of Health and Human Services
Center for Information Technology,United States Department of Health and Human Services
Center for Nanoscale Science and Technology,United States Department of Commerce
Center for Scientific Review,United States Department of Health and Human Services
Center for Selective C–H Functionalization,National Science Foundation
Centers for Disease Control and Prevention,United States Department of Health and Human Services
Centers for Medicare and Medicaid Services,United States Department of Health and Human Services
Climate Program Office,United States Department of Commerce
Colorado Humanities,National Endowment for the Humanities
Communications Technology Laboratory,United States Department of Commerce
Congressionally Directed Medical Research Programs,United States Department of Defense
Connecticut Sea Grant,United States Department of Commerce
Connecticut Space Grant Consortium,National Aeronautics and Space Administration
DEVCOM Army Research Laboratory,United States Department of Defense
Defense Advanced Research Projects Agency,United States Department of Defense
Defense Forensics and Biometrics Agency,United States Department of Defense
Defense Health Agency,United States Department of Defense
Defense Human Resources Activity,United States Department of Defense
Defense Information School,United States Department of Defense
Defense Intelligence Agency,United States Department of Defense
Defense Logistics Agency,United States Department of Defense
Defense Technical Information Center,United States Department of Defense
Defense Technology Security Administration,United States Department of Defense
Defense Threat Reduction Agency,United States Department of Defense
Delaware Space Grant Consortium,National Aeronautics and Space Administration
Directorate for Biological Sciences,National Science Foundation
Directorate for Computer & Information Science & Engineering,National Science Foundation
Directorate for Engineering,National Science Foundation
Directorate for Geosciences,National Science Foundation
Directorate for Mathematical & Physical Sciences,National Science Foundation
Directorate for STEM Education,National Science Foundation
"Directorate for Social, Behavioral & Economic Sciences",National Science Foundation
"Directorate for Technology, Innovation and Partnerships",National Science Foundation
Division of Acquisition and Cooperative Support,National Science Foundation
Division of Antarctic Infrastructure and Logistics,National Science Foundation
Division of Astronomical Sciences,National Science Foundation
Division of Atmospheric and Geospace Sciences,National Science Foundation
Division of Behavioral and Cognitive Sciences,National Science Foundation
Division of Biological Infrastructure,National Science Foundation
"Division of Chemical, Bioengineering, Environmental, and Transport Systems",National Science Foundation
Division of Chemistry,National Science Foundation
"Division of Civil, Mechanical & Manufacturing Innovation",National Science Foundation
Division of Computer and Network Systems,National Science Foundation
Division of Computing and Communication Foundations,National Science Foundation
Division of Earth Sciences,National Science Foundation
"Division of Electrical, Communications & Cyber Systems",National Science Foundation
"Division of Elementary, Secondary, and Informal Education",National Science Foundation
Division of Engineering Education & Centers,National Science Foundation
Division of Environmental Biology,National Science Foundation
Division of Equity for Excellence in STEM,National Science Foundation
Division of Graduate Education,National Science Foundation
Division of Grants & Agreements,National Science Foundation
Division of Human Resource Management,National Science Foundation
Division of Industrial Innovation & Partnerships,National Science Foundation
Division of Information Systems,National Science Foundation
Division of Information and Intelligent Systems,National Science Foundation
Division of Institution and Award Support,National Science Foundation
Division of Integrative Organismal Systems,National Science Foundation
Division of Materials Research,National Science Foundation
Division of Mathematical Sciences,National Science Foundation
Division of Molecular & Cellular Biosciences,National Science Foundation
Division of Ocean Sciences,National Science Foundation
Division of Physics,National Science Foundation
Division of Program Coordination Planning and Strategic Initiatives,United States Department of Health and Human Services
Division of Research on Learning in Formal and Informal Settings,National Science Foundation
Division of Social and Economic Sciences,National Science Foundation
Division of Undergraduate Education,National Science Foundation
Domestic Nuclear Detection Office,United States Department of Homeland Security
Economic Research Service,United States Department of Agriculture
Educause,United States Department of Commerce
Emerging Frontiers Office,National Science Foundation
Engineer Research and Development Center,United States Department of Defense
Engineering Laboratory,United States Department of Commerce
Environmental Protection Agency,Environmental Protection Agency
Eunice Kennedy Shriver National Institute of Child Health and Human Development,United States Department of Health and Human Services
Federal Emergency Management Agency,United States Department of Homeland Security
Federal Highway Administration,United States Department of Transportation
Fermilab,United States Department of Energy
Florida Sea Grant,United States Department of Commerce
Florida Space Grant Consortium,National Aeronautics and Space Administration
Fogarty International Center,United States Department of Health and Human Services
Georgia Sea Grant,United States Department of Commerce
Georgia Space Grant Consortium,National Aeronautics and Space Administration
Geothermal Technologies Office,United States Department of Energy
Glenn Research Center,National Aeronautics and Space Administration
Goddard Space Flight Center,National Aeronautics and Space Administration
Hawai'i Council for the Humanities,National Endowment for the Humanities
Health Resources and Services Administration,United States Department of Health and Human Services
Humanities Council of Washington,National Endowment for the Humanities
Humanities Kansas,National Endowment for the Humanities
Humanities Montana,National Endowment for the Humanities
Humanities North Dakota,National Endowment for the Humanities
Hydrogen and Fuel Cell Technologies Office,United States Department of Energy
Idaho Humanities Council,National Endowment for the Humanities
Idaho Space Grant Consortium,National Aeronautics and Space Administration
Illinois Humanities Council,National Endowment for the Humanities
Illinois Indiana Sea Grant,United States Department of Commerce
Illinois Space Grant Consortium,National Aeronautics and Space Administration
Indian Health Service,United States Department of Health and Human Services
Indiana Humanities,National Endowment for the Humanities
Indiana Space Grant Consortium,National Aeronautics and Space Administration
Information Technology Laboratory,United States Department of Commerce
Innovation and Technology Ecosystems,National Science Foundation
Institute of Education Sciences,United States Department of Education
Institute of Museum and Library Services,Institute of Museum and Library Services
International Partnership for the Hydrogen and Fuel Cell in the Economy,United States Department of Energy
Iowa Space Grant Consortium,National Aeronautics and Space Administration
James A. Haley Veterans' Hospital,United States Department of Veterans Affairs
Jet Propulsion Laboratory,National Aeronautics and Space Administration
Johnson Space Center,National Aeronautics and Space Administration
Kansas Space Grant Consortium,National Aeronautics and Space Administration
Keck Institute for Space Studies,National Aeronautics and Space Administration
Kennedy Space Center,National Aeronautics and Space Administration
Kentucky Space Grant Consortium,National Aeronautics and Space Administration
Lake Champlain Sea Grant,United States Department of Commerce
Langley Research Center,National Aeronautics and Space Administration
Lawrence Berkeley National Laboratory,United States Department of Energy
Lawrence Livermore National Laboratory,United States Department of Energy
Library of Congress,United States Congress
Los Alamos National Laboratory,United States Department of Energy
Louisiana Endowment for the Humanities,National Endowment for the Humanities
Louisiana Sea Grant,United States Department of Commerce
Louisiana Space Grant Consortium,National Aeronautics and Space Administration
Maine Sea Grant,United States Department of Commerce
Maine Space Grant Consortium,National Aeronautics and Space Administration
Marine Corps Warfighting Laboratory,United States Department of Defense
Marshall Space Flight Center,National Aeronautics and Space Administration
Maryland Humanities Council,National Endowment for the Humanities
Maryland Sea Grant,United States Department of Commerce
Maryland Space Grant Consortium,National Aeronautics and Space Administration
Massachusetts Office of Coastal Zone Management,United States Department of Commerce
Material Measurement Laboratory,United States Department of Commerce
"Mental Illness Research, Education and Clinical Centers",United States Department of Veterans Affairs
Michigan Humanities Council,National Endowment for the Humanities
Michigan Sea Grant,United States Department of Commerce
Michigan Space Grant Consortium,National Aeronautics and Space Administration
Minnesota Humanities Center,National Endowment for the Humanities
Minnesota Sea Grant,United States Department of Commerce
Missile Defense Agency,United States Department of Defense
Mississippi Alabama Sea Grant Consortium,United States Department of Commerce
Mississippi Space Grant Consortium,National Aeronautics and Space Administration
Montana Space Grant Consortium,National Aeronautics and Space Administration
NIST Center for Neutron Research,United States Department of Commerce
National Aeronautics and Space Administration,National Aeronautics and Space Administration
National Archives and Records Administration,National Archives and Records Administration
National Cancer Institute,United States Department of Health and Human Services
National Center for Advancing Translational Sciences,United States Department of Health and Human Services
National Center for Chronic Disease Prevention and Health Promotion,United States Department of Health and Human Services
National Center for Complementary and Integrative Health,United States Department of Health and Human Services
National Center for Emerging and Zoonotic Infectious Diseases,United States Department of Health and Human Services
National Center for Environmental Health,United States Department of Health and Human Services
National Center for HIV/AIDS Viral Hepatitis STD and TB Prevention,United States Department of Health and Human Services
National Center for Health Statistics,United States Department of Health and Human Services
National Center for Immunization and Respiratory Diseases,United States Department of Health and Human Services
National Center for Infectious Diseases,United States Department of Health and Human Services
National Center for Injury Prevention and Control,United States Department of Health and Human Services
National Center for Science and Engineering Statistics,National Science Foundation
National Center on Birth Defects and Developmental Disabilities,United States Department of Health and Human Services
National Centers for Coastal Ocean Science,United States Department of Commerce
National Council on Disability,National Council on Disability
National Endowment for the Arts,National Endowment for the Arts
National Endowment for the Humanities,National Endowment for the Humanities
National Energy Technology Laboratory,United States Department of Energy
National Eye Institute,United States Department of Health and Human Services
National Gallery of Art,National Gallery of Art
National Geospatial-Intelligence Agency,United States Department of Defense
National Heart Lung and Blood Institute,United States Department of Health and Human Services
National Highway Traffic Safety Administration,United States Department of Transportation
National Human Genome Research Institute,United States Department of Health and Human Services
National Institute for Occupational Safety and Health,United States Department of Health and Human Services
National Institute of Allergy and Infectious Diseases,United States Department of Health and Human Services
National Institute of Arthritis and Musculoskeletal and Skin Diseases,United States Department of Health and Human Services
National Institute of Biomedical Imaging and Bioengineering,United States Department of Health and Human Services
National Institute of Dental and Craniofacial Research,United States Department of Health and Human Services
National Institute of Diabetes and Digestive and Kidney Diseases,United States Department of Health and Human Services
National Institute of Environmental Health Sciences,United States Department of Health and Human Services
National Institute of Food and Agriculture,United States Department of Agriculture
National Institute of General Medical Sciences,United States Department of Health and Human Services
National Institute of Justice,United States Department of Justice
National Institute of Mental Health,United States Department of Health and Human Services
National Institute of Neurological Disorders and Stroke,United States Department of Health and Human Services
National Institute of Nursing Research,United States Department of Health and Human Services
National Institute of Standards and Technology,United States Department of Commerce
National Institute on Aging,United States Department of Health and Human Services
National Institute on Alcohol Abuse and Alcoholism,United States Department of Health and Human Services
National Institute on Deafness and Other Communication Disorders,United States Department of Health and Human Services
"National Institute on Disability, Independent Living, and Rehabilitation Research",United States Department of Health and Human Services
National Institute on Drug Abuse,United States Department of Health and Human Services
National Institute on Minority Health and Health Disparities,United States Department of Health and Human Services
National Institutes of Health,United States Department of Health and Human Services
National Institutes of Health Clinical Center,United States Department of Health and Human Services
National Nanotechnology Initiative,National Nanotechnology Initiative
National Nuclear Security Administration,United States Department of Energy
National Oceanic and Atmospheric Administration,United States Department of Commerce
National Park Service,United States Department of the Interior
National Renewable Energy Laboratory,United States Department of Energy
National Science Board,National Science Foundation
National Science Foundation,National Science Foundation
National Security Agency,United States Department of Defense
Naval Air Systems Command,United States Department of Defense
Naval Information Warfare Center Pacific,United States Department of Defense
Naval Medical Center Portsmouth,United States Department of Defense
Naval Medical Center San Diego,United States Department of Defense
Naval Medical Research Center,United States Department of Defense
Naval Postgraduate School,United States Department of Defense
Naval Sea Systems Command,United States Department of Defense
Naval Undersea Warfare Center,United States Department of Defense
Nebraska Space Grant Consortium,National Aeronautics and Space Administration
Nevada Space Grant Consortium,National Aeronautics and Space Administration
New Jersey Sea Grant Consortium,United States Department of Commerce
New Jersey Space Grant Consortium,National Aeronautics and Space Administration
New Mexico Space Grant Consortium,National Aeronautics and Space Administration
New York Council for the Humanities,National Endowment for the Humanities
New York Sea Grant,United States Department of Commerce
New York Space Grant Consortium,National Aeronautics and Space Administration
North Carolina Sea Grant,United States Department of Commerce
North Carolina Space Grant Consortium,National Aeronautics and Space Administration
North Dakota Space Grant Consortium,National Aeronautics and Space Administration
Northern Gulf Institute,United States Department of Commerce
Oak Ridge National Laboratory,United States Department of Energy
Office for Coastal Management,United States Department of Commerce
Office of Advanced Cyberinfrastructure,National Science Foundation
Office of Advanced Scientific Computing Research,United States Department of Energy
Office of Basic Energy Sciences,United States Department of Energy
Office of Biological and Environmental Research,United States Department of Energy
"Office of Budget, Finance and Award Management",National Science Foundation
Office of Dietary Supplements,United States Department of Health and Human Services
Office of Disease Prevention,United States Department of Health and Human Services
Office of Diversity and Inclusion,United States Department of Veterans Affairs
Office of Education,United States Department of Commerce
Office of Electricity,United States Department of Energy
Office of Emerging Frontiers and Multidisciplinary Activities,National Science Foundation
Office of Energy Efficiency,United States Department of Energy
Office of Energy Efficiency and Renewable Energy,United States Department of Energy
Office of Environmental Management,United States Department of Energy
"Office of Environmental Protection, Sustainability Support and Corporate Safety Analysis",United States Department of Energy
Office of Extramural Research,United States Department of Health and Human Services
Office of Fossil Energy,United States Department of Energy
Office of Fusion Energy Sciences,United States Department of Energy
Office of Health and Safety,United States Department of Energy
Office of High Energy Physics,United States Department of Energy
Office of Infectious Diseases,United States Department of Health and Human Services
Office of Information and Resource Management,National Science Foundation
Office of Inspector General,National Science Foundation
Office of Integrative Activities,National Science Foundation
