Source title,PubYear,Publisher,DOI
Journal of Animal Science,2018,Oxford University Press (OUP),27
PLOS ONE,2016,Public Library of Science (PLoS),26
Journal of Animal Science,2016,Oxford University Press (OUP),21
Scientific Reports,2017,Springer Nature,18
PLOS ONE,2017,Public Library of Science (PLoS),18
Scientific Reports,2019,Springer Nature,17
Journal of Animal Science,2017,Oxford University Press (OUP),16
PLOS ONE,2018,Public Library of Science (PLoS),16
PLOS ONE,2020,Public Library of Science (PLoS),16
PLOS ONE,2021,Public Library of Science (PLoS),15
PLOS ONE,2019,Public Library of Science (PLoS),15
Frontiers in Plant Science,2023,Frontiers,14
Journal of Animal Science,2019,Oxford University Press (OUP),14
Scientific Reports,2021,Springer Nature,14
Scientific Reports,2022,Springer Nature,13
Frontiers in Plant Science,2022,Frontiers,12
Physical Chemistry Chemical Physics,2016,Royal Society of Chemistry (RSC),11
Scientific Reports,2020,Springer Nature,11
Journal of the American Chemical Society,2023,American Chemical Society (ACS),10
Frontiers in Plant Science,2021,Frontiers,10
Frontiers in Plant Science,2018,Frontiers,10
Journal of Animal Science,2020,Oxford University Press (OUP),10
Journal of Animal Science,2021,Oxford University Press (OUP),10
ACS Applied Materials & Interfaces,2023,American Chemical Society (ACS),10
The Journal of Physical Chemistry A,2017,American Chemical Society (ACS),10
RSC Advances,2016,Royal Society of Chemistry (RSC),9
Scientific Reports,2018,Springer Nature,9
Journal of the American Chemical Society,2022,American Chemical Society (ACS),9
Journal of the American Chemical Society,2017,American Chemical Society (ACS),9
Frontiers in Veterinary Science,2020,Frontiers,9
BMC Genomics,2016,Springer Nature,9
Nature Communications,2021,Springer Nature,9
Journal of the American Chemical Society,2020,American Chemical Society (ACS),9
IEEE Transactions on Power Systems,2021,Institute of Electrical and Electronics Engineers (IEEE),9
Frontiers in Plant Science,2020,Frontiers,9
IEEE Transactions on Power Systems,2022,Institute of Electrical and Electronics Engineers (IEEE),9
Journal of the American Chemical Society,2018,American Chemical Society (ACS),8
Nature Communications,2023,Springer Nature,8
Nature Communications,2017,Springer Nature,8
The Journal of Physical Chemistry C,2019,American Chemical Society (ACS),8
Chemistry of Materials,2019,American Chemical Society (ACS),8
Frontiers in Veterinary Science,2021,Frontiers,8
Frontiers in Veterinary Science,2023,Frontiers,8
Inorganic Chemistry,2021,American Chemical Society (ACS),8
Acta Materialia,2020,Elsevier,8
Proceedings of the National Academy of Sciences of the United States of America,2022,Proceedings of the National Academy of Sciences,8
The Journal of Physical Chemistry C,2017,American Chemical Society (ACS),8
The Journal of Physical Chemistry A,2018,American Chemical Society (ACS),8
Frontiers in Plant Science,2017,Frontiers,7
ACS Sustainable Chemistry & Engineering,2022,American Chemical Society (ACS),7
Frontiers in Microbiology,2021,Frontiers,7
Crop Science,2016,Wiley,7
IEEE Transactions on Power Systems,2023,Institute of Electrical and Electronics Engineers (IEEE),7
The Journal of Physical Chemistry C,2016,American Chemical Society (ACS),7
Nanoscale,2016,Royal Society of Chemistry (RSC),7
Journal of Chromatography A,2016,Elsevier,7
Angewandte Chemie International Edition,2017,Wiley,7
Poultry Science,2019,Elsevier,7
Acta Materialia,2021,Elsevier,7
ACS Applied Materials & Interfaces,2019,American Chemical Society (ACS),7
Engineering Structures,2019,Elsevier,7
The Journal of Chemical Physics,2023,AIP Publishing,7
Angewandte Chemie,2017,Wiley,7
Analytical Chemistry,2023,American Chemical Society (ACS),7
The Journal of Physical Chemistry C,2021,American Chemical Society (ACS),7
Nanoscale,2019,Royal Society of Chemistry (RSC),7
Chemistry of Materials,2018,American Chemical Society (ACS),7
Chemistry of Materials,2017,American Chemical Society (ACS),7
Transportation Research Record Journal of the Transportation Research Board,2018,SAGE Publications,7
Journal of the American Chemical Society,2021,American Chemical Society (ACS),7
Nanoscale,2017,Royal Society of Chemistry (RSC),7
Chemistry of Materials,2022,American Chemical Society (ACS),7
ACS Applied Materials & Interfaces,2022,American Chemical Society (ACS),6
Journal of Animal Science,2023,Oxford University Press (OUP),6
Green Chemistry,2019,Royal Society of Chemistry (RSC),6
Green Chemistry,2020,Royal Society of Chemistry (RSC),6
ACS Nano,2020,American Chemical Society (ACS),6
IEEE Transactions on Smart Grid,2020,Institute of Electrical and Electronics Engineers (IEEE),6
Frontiers in Genetics,2020,Frontiers,6
Frontiers in Plant Science,2019,Frontiers,6
IEEE Transactions on Power Systems,2020,Institute of Electrical and Electronics Engineers (IEEE),6
ACS Catalysis,2019,American Chemical Society (ACS),6
ACS Applied Materials & Interfaces,2020,American Chemical Society (ACS),6
Agronomy Journal,2020,Wiley,6
The Journal of Chemical Physics,2022,AIP Publishing,6
Angewandte Chemie International Edition,2018,Wiley,6
Agronomy Journal,2017,Wiley,6
Scientific Reports,2016,Springer Nature,6
Proceedings of the National Academy of Sciences of the United States of America,2023,Proceedings of the National Academy of Sciences,6
Proceedings of the National Academy of Sciences of the United States of America,2017,Proceedings of the National Academy of Sciences,6
Proceedings of the National Academy of Sciences of the United States of America,2020,Proceedings of the National Academy of Sciences,6
The Journal of Physical Chemistry C,2018,American Chemical Society (ACS),6
The Journal of Physical Chemistry C,2020,American Chemical Society (ACS),6
Plant Science,2017,Elsevier,6
Plant Physiology,2017,Oxford University Press (OUP),6
Acta Materialia,2022,Elsevier,6
The Journal of Physical Chemistry C,2023,American Chemical Society (ACS),6
Journal of Materials Chemistry C,2017,Royal Society of Chemistry (RSC),6
Angewandte Chemie,2018,Wiley,6
Journal of Dairy Science,2018,American Dairy Science Association,6
BMC Genomics,2019,Springer Nature,6
Translational Animal Science,2019,Oxford University Press (OUP),6
Journal of the American Chemical Society,2019,American Chemical Society (ACS),6
Journal of Computational Physics,2017,Elsevier,6
ACS Sustainable Chemistry & Engineering,2016,American Chemical Society (ACS),6
Transportation Research Record Journal of the Transportation Research Board,2023,SAGE Publications,6
Translational Animal Science,2020,Oxford University Press (OUP),6
Frontiers in Molecular Biosciences,2021,Frontiers,5
ACS Catalysis,2018,American Chemical Society (ACS),5
Wetlands,2018,Springer Nature,5
Frontiers in Plant Science,2016,Frontiers,5
Frontiers in Microbiology,2022,Frontiers,5
Frontiers in Genetics,2019,Frontiers,5
Journal of Alloys and Compounds,2022,Elsevier,5
Computational Materials Science,2018,Elsevier,5
International Journal of Heat and Mass Transfer,2019,Elsevier,5
Computers and Electronics in Agriculture,2019,Elsevier,5
Inorganic Chemistry,2017,American Chemical Society (ACS),5
Inorganic Chemistry,2022,American Chemical Society (ACS),5
Crop Science,2017,Wiley,5
Crop Science,2020,Wiley,5
